Tract,neighborhood,Labor Force,Unemployed,Employed,Family Poverty,No HS,Some HS,HS Graduates,Bachelors Degree,Grad/Prof Degree,Private Health Ins,Public Health Ins,No Health Ins,No Vehicles,One Vehicle,Two Vehicles,Three+ Vehicles,Drive Alone,Carpooled,Walked,Other means,WFH,Public Transit,Total Population,Male,Female,Census Tract Number,Life Expectancy,Life Expectancy Standard Error,NAME10,Life Expectancy_abvavg,Life_Expectancy_Difference,Unemployed_cat_10-15%,Unemployed_cat_15-20%,Unemployed_cat_20-25%,Unemployed_cat_25 or more,Unemployed_cat_5-10%,Unemployed_cat_less than 5%,sex_cat_More Men,sex_cat_More Women,vehicle_cat_No Vehicles,vehicle_cat_One Vehicle,vehicle_cat_Three+ Vehicles,vehicle_cat_Two Vehicles,transport_cat_Carpooled,transport_cat_Drive Alone,transport_cat_Public Transit,transport_cat_Walked,education_cat_Bachelors Degree,education_cat_Grad/Prof Degree,education_cat_HS Graduates,education_cat_No HS,education_cat_Some HS,health_ins_cat_No Health Ins,health_ins_cat_Private Health Ins,health_ins_cat_Public Health Ins,area_Central,area_Far North Side,area_Far South Side,area_Far Southwest Side,area_North Side,area_Northwest Side,area_South Side,area_Southwest Side,area_West Side
271400.0,EAST GARFIELD PARK,456.0,8.5,39.9,43.3,3.0,22.9,26.0,11.0,3.0,30.1,58.8,13.8,30.2,54.2,15.1,0.5,31.0,8.3,0.5,7.8,11.2,41.2,1185.0,51.9,48.1,2714.0,68.6,3.6228,2714.0,0,-8.159305729820176,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
280100.0,NEAR WEST SIDE,5892.0,2.7,88.6,0.0,0.0,0.0,3.8,49.4,39.9,94.5,4.7,3.6,31.0,58.1,9.5,1.3,25.4,3.5,43.6,6.1,7.3,14.1,6811.0,49.3,50.7,2801.0,75.60000000000001,2.1579,2801.0,0,-1.1593057298201614,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
310300.0,LOWER WEST SIDE,1126.0,11.1,66.0,14.2,14.4,7.9,15.6,26.3,11.7,49.5,23.8,31.4,21.7,37.6,30.5,10.2,51.7,5.7,5.5,10.8,3.6,22.6,1673.0,59.0,41.0,3103.0,79.1,3.2225,3103.0,1,2.3406942701798243,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
200200.0,HERMOSA,2440.0,7.4,57.7,26.9,22.8,14.5,34.6,6.8,2.6,32.8,49.0,21.9,24.7,32.6,30.3,12.3,66.0,8.9,4.1,1.6,2.0,17.4,4815.0,50.8,49.2,2002.0,78.5,1.9401,2002.0,1,1.74069427017983,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
221400.0,LOGAN SQUARE,2048.0,2.9,76.9,12.7,4.5,8.8,22.6,29.6,14.7,63.7,14.8,24.2,22.0,60.7,15.3,2.0,38.8,5.7,0.3,4.4,9.6,41.2,3034.0,58.3,41.7,2214.0,80.9,3.0748,2214.0,1,4.140694270179836,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
31400.0,UPTOWN,3740.0,3.1,73.6,1.7,1.2,3.7,7.2,41.3,35.1,85.0,16.7,9.4,30.1,57.9,11.0,1.0,40.2,2.3,1.6,3.7,8.7,43.5,5114.0,49.4,50.6,314.0,77.8,1.2359,314.0,1,1.0406942701798272,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
40600.0,LINCOLN SQUARE,1934.0,8.2,78.3,5.3,0.8,3.7,9.6,40.3,30.8,82.5,13.2,10.8,20.9,47.1,23.1,8.9,46.4,2.4,8.7,1.0,5.5,36.1,2696.0,44.0,56.0,406.0,80.6,2.1714,406.0,1,3.8406942701798243,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
510200.0,SOUTH DEERING,1436.0,14.4,48.0,15.0,8.0,9.5,33.7,6.7,8.3,59.6,32.2,19.1,8.0,60.8,26.2,5.0,60.7,16.1,0.0,0.8,1.8,20.6,2627.0,44.7,55.3,5102.0,74.0,1.9198,5102.0,0,-2.75930572982017,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
570500.0,ARCHER HEIGHTS,1330.0,9.6,60.5,5.0,18.4,11.5,36.9,6.5,3.1,48.8,34.7,22.5,11.2,43.8,32.3,12.7,63.3,7.4,6.6,2.2,1.8,18.7,2418.0,52.7,47.3,5705.0,79.5,2.0305,5705.0,1,2.74069427017983,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
600600.0,BRIDGEPORT,1580.0,6.9,61.5,21.6,19.4,14.0,29.5,10.7,6.6,38.9,41.6,25.8,20.1,53.5,23.7,2.7,49.6,4.4,8.9,6.6,1.9,28.6,2947.0,49.9,50.1,6006.0,78.16666666666667,1.8501666666666665,6006.0,1,1.4073609368465014,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
